GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4
CIV.1.1.1.1_1,CIV,Côted'Ivoire,CIV.1_1,Abidjan,CIV.1.1_1,Abidjan,CIV.1.1.1_1,Abidjan,Abidjan-Ville,NA,Sous-préfecture,Sub-prefecture,NA
CIV.1.1.1.2_1,CIV,Côted'Ivoire,CIV.1_1,Abidjan,CIV.1.1_1,Abidjan,CIV.1.1.1_1,Abidjan,Anyama,NA,Sous-préfecture,Sub-prefecture,NA
CIV.1.1.1.3_1,CIV,Côted'Ivoire,CIV.1_1,Abidjan,CIV.1.1_1,Abidjan,CIV.1.1.1_1,Abidjan,Bingerville,NA,Sous-préfecture,Sub-prefecture,NA
CIV.1.1.1.4_1,CIV,Côted'Ivoire,CIV.1_1,Abidjan,CIV.1.1_1,Abidjan,CIV.1.1.1_1,Abidjan,Songon,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.1.1.1_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.1_1,Gbôkle,CIV.2.1.1_1,Fresco,Fresco,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.1.2.1_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.1_1,Gbôkle,CIV.2.1.2_1,Sassandra,Sassandra,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.2.1.1_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.2_1,Nawa,CIV.2.2.1_1,Buyo,Buyo,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.2.1.2_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.2_1,Nawa,CIV.2.2.1_1,Buyo,Dapéoua,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.2.2.1_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.2_1,Nawa,CIV.2.2.2_1,Guéyo,Gueyo,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.2.3.1_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.2_1,Nawa,CIV.2.2.3_1,Méagui,Méagui,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.2.4.1_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.2_1,Nawa,CIV.2.2.4_1,Oupoyo,Gnamangui,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.2.5.1_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.2_1,Nawa,CIV.2.2.5_1,Soubré,Gnamangui,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.2.5.2_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.2_1,Nawa,CIV.2.2.5_1,Soubré,Grand-Zattry,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.2.5.3_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.2_1,Nawa,CIV.2.2.5_1,Soubré,Soubre,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.3.1.1_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.3_1,San-Pédro,CIV.2.3.1_1,San-Pedro,Grand-Bereby,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.3.1.2_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.3_1,San-Pédro,CIV.2.3.1_1,San-Pedro,San-Pedro,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.3.2.1_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.3_1,San-Pédro,CIV.2.3.2_1,Tabou,Grabo,NA,Sous-préfecture,Sub-prefecture,NA
CIV.2.3.2.2_1,CIV,Côted'Ivoire,CIV.2_1,Bas-Sassandra,CIV.2.3_1,San-Pédro,CIV.2.3.2_1,Tabou,Tabou,NA,Sous-préfecture,Sub-prefecture,NA
CIV.3.1.1.1_1,CIV,Côted'Ivoire,CIV.3_1,Comoé,CIV.3.1_1,Indénié-Djuablin,CIV.3.1.1_1,Abengourou,Abengourou,NA,Sous-préfecture,Sub-prefecture,NA
CIV.3.1.1.2_1,CIV,Côted'Ivoire,CIV.3_1,Comoé,CIV.3.1_1,Indénié-Djuablin,CIV.3.1.1_1,Abengourou,Niable,NA,Sous-préfecture,Sub-prefecture,NA
CIV.3.1.2.1_1,CIV,Côted'Ivoire,CIV.3_1,Comoé,CIV.3.1_1,Indénié-Djuablin,CIV.3.1.2_1,Agnibilékrou,Agnibilekro,NA,Sous-préfecture,Sub-prefecture,NA
CIV.3.1.3.1_1,CIV,Côted'Ivoire,CIV.3_1,Comoé,CIV.3.1_1,Indénié-Djuablin,CIV.3.1.3_1,Bettié,Bettie,NA,Sous-préfecture,Sub-prefecture,NA
CIV.3.2.1.1_1,CIV,Côted'Ivoire,CIV.3_1,Comoé,CIV.3.2_1,SudComoé,CIV.3.2.1_1,Aboisso,Aboisso,NA,Sous-préfecture,Sub-prefecture,NA
CIV.3.2.2.1_1,CIV,Côted'Ivoire,CIV.3_1,Comoé,CIV.3.2_1,SudComoé,CIV.3.2.2_1,Adiake,Adiake,NA,Sous-préfecture,Sub-prefecture,NA
CIV.3.2.3.1_1,CIV,Côted'Ivoire,CIV.3_1,Comoé,CIV.3.2_1,SudComoé,CIV.3.2.3_1,Ayame,Ayame,NA,Sous-préfecture,Sub-prefecture,NA
CIV.3.2.4.1_1,CIV,Côted'Ivoire,CIV.3_1,Comoé,CIV.3.2_1,SudComoé,CIV.3.2.4_1,Bonoua,Bonoua,NA,Sous-préfecture,Sub-prefecture,NA
CIV.3.2.5.1_1,CIV,Côted'Ivoire,CIV.3_1,Comoé,CIV.3.2_1,SudComoé,CIV.3.2.5_1,Grand-Bassam,Grand-Bassam,NA,Sous-préfecture,Sub-prefecture,NA
CIV.3.2.6.1_1,CIV,Côted'Ivoire,CIV.3_1,Comoé,CIV.3.2_1,SudComoé,CIV.3.2.6_1,Mafere,Mafere,NA,Sous-préfecture,Sub-prefecture,NA
CIV.3.2.7.1_1,CIV,Côted'Ivoire,CIV.3_1,Comoé,CIV.3.2_1,SudComoé,CIV.3.2.7_1,Tiapoum,Tiapoum,NA,Sous-préfecture,Sub-prefecture,NA
CIV.4.1.1.1_1,CIV,Côted'Ivoire,CIV.4_1,Denguélé,CIV.4.1_1,Folon,CIV.4.1.1_1,Kaniasso,Goulia,NA,Sous-préfecture,Sub-prefecture,NA
CIV.4.1.1.2_1,CIV,Côted'Ivoire,CIV.4_1,Denguélé,CIV.4.1_1,Folon,CIV.4.1.1_1,Kaniasso,Kaniasso,NA,Sous-préfecture,Sub-prefecture,NA
CIV.4.1.2.1_1,CIV,Côted'Ivoire,CIV.4_1,Denguélé,CIV.4.1_1,Folon,CIV.4.1.2_1,Minignan,Minignan,NA,Sous-préfecture,Sub-prefecture,NA
CIV.4.1.2.2_1,CIV,Côted'Ivoire,CIV.4_1,Denguélé,CIV.4.1_1,Folon,CIV.4.1.2_1,Minignan,Tienko,NA,Sous-préfecture,Sub-prefecture,NA
CIV.4.2.1.1_1,CIV,Côted'Ivoire,CIV.4_1,Denguélé,CIV.4.2_1,Kabadougou,CIV.4.2.1_1,Gbeleban,Gbeleban,NA,Sous-préfecture,Sub-prefecture,NA
CIV.4.2.2.1_1,CIV,Côted'Ivoire,CIV.4_1,Denguélé,CIV.4.2_1,Kabadougou,CIV.4.2.2_1,Madinani,Madinani,NA,Sous-préfecture,Sub-prefecture,NA
CIV.4.2.2.2_1,CIV,Côted'Ivoire,CIV.4_1,Denguélé,CIV.4.2_1,Kabadougou,CIV.4.2.2_1,Madinani,Seguelon,NA,Sous-préfecture,Sub-prefecture,NA
CIV.4.2.3.1_1,CIV,Côted'Ivoire,CIV.4_1,Denguélé,CIV.4.2_1,Kabadougou,CIV.4.2.3_1,Odienné,Bako,NA,Sous-préfecture,Sub-prefecture,NA
CIV.4.2.3.2_1,CIV,Côted'Ivoire,CIV.4_1,Denguélé,CIV.4.2_1,Kabadougou,CIV.4.2.3_1,Odienné,Dioulatiedougou,NA,Sous-préfecture,Sub-prefecture,NA
CIV.4.2.3.3_1,CIV,Côted'Ivoire,CIV.4_1,Denguélé,CIV.4.2_1,Kabadougou,CIV.4.2.3_1,Odienné,Odienné,NA,Sous-préfecture,Sub-prefecture,NA
CIV.4.2.3.4_1,CIV,Côted'Ivoire,CIV.4_1,Denguélé,CIV.4.2_1,Kabadougou,CIV.4.2.3_1,Odienné,Seydougou,NA,Sous-préfecture,Sub-prefecture,NA
